"","b1","b2","b3","b4","b5","b6.1","b6.2","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24.1","b24.2","b25","b26","b27","b28","b29","b30","b31","b32"
"159",1,1,1,1,0,0,2,4,0,3,1,0,1,0,1,1,2,2,1,1,2,0,0,0,0,0,1,1,1,0,2,1,1,0
"160",1,1,1,1,0,0,2,0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
"161",0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,1,0,1,1,1,1,0,1,1,2,0,1,1,0
"162",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,4,3,1,1,1
"163",1,1,1,0,1,0,1,3,1,0,1,1,0,1,0,0,1,2,1,1,1,1,1,1,0,0,1,0,1,0,2,1,1,0
"164",2,1,1,1,1,1,2,4,1,3,0,1,1,1,0,1,1,2,1,0,2,1,0,1,1,1,1,1,1,2,1,1,1,1
"165",2,1,1,1,0,1,2,2,1,3,1,1,1,1,1,0,2,2,0,1,1,1,1,1,0,1,1,1,1,3,3,1,1,0
"166",1,0,0,0,0,0,0,4,1,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1
"167",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,0,2,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1
"168",2,1,1,0,0,0,1,4,1,3,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,3,2,1,1,0
"169",0,0,1,0,0,0,0,4,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,2,3,1,1,1
"170",1,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0,2,2,0,1,2,1,0,1,0,0,0,1,1,2,1,1,1,0
"171",2,1,0,1,1,1,2,4,1,3,0,1,1,0,1,1,2,2,1,1,2,1,0,0,1,1,1,1,1,1,2,1,1,0
"172",2,1,1,1,0,0,2,4,1,3,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,1,1,1,1,2,3,1,1,1
"173",0,0,0,0,1,0,0,0,1,3,1,0,1,0,0,0,2,2,1,1,0,1,0,0,0,0,1,1,1,0,2,1,1,0
"174",2,0,1,1,1,0,2,4,1,0,0,1,1,1,1,0,2,2,1,1,2,1,0,1,1,0,1,0,1,0,3,1,1,0
"175",0,1,0,0,0,0,0,3,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,3,0,1,1,0
"176",1,0,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,2,0,1,1,1
"177",2,1,1,1,0,0,0,3,0,3,0,1,1,1,1,1,0,2,1,0,2,0,0,1,0,1,1,1,1,0,1,0,1,0
"178",0,1,0,0,1,0,2,4,0,3,1,0,0,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,4,2,1,1,0
"179",1,1,1,1,1,1,2,4,1,3,0,1,1,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,4,2,1,0,0
